Material Id,Material Name,Material Group,Plant,Closing Stock,Replenishment Quantity,6 April 2025 Sales Quantity Forecast,6 April 2025 Cashflow Forecast,13 April 2025 Sales Quantity Forecast,13 April 2025 Cashflow Forecast,20 April 2025 Sales Quantity Forecast,20 April 2025 Cashflow Forecast,27 April 2025 Sales Quantity Forecast,27 April 2025 Cashflow Forecast,Aging Risk
70-0000271,INFANT FEEDING TUBE-5,PH-SURG,Chennai,95,0,10,57,7,40,15,85,8,48,<3 Months
70-0000273,INFANT FEEDING TUBE-7,PH-SURG,Chennai,107,0,10,57,7,40,9,51,4,23,<3 Months
70-0000274,INFANT FEEDING TUBE-8,PH-SURG,Chennai,247,0,3,17,17,98,5,29,1,6,<3 Months
70-0000275,INFANT FEEDING TUBE-9,PH-SURG,Chennai,103,0,4,23,3,17,1,6,2,11,<3 Months
70-0000283,INTROCAN 24G,PH-SURG,Chennai,115,0,29,1550,9,481,21,1122,27,1443,<3 Months
70-0000392,NORMAL DELIVERY KIT,PH-DRAP,Chennai,21,0,3,825,1,275,5,1375,2,550,<3 Months
70-0000397,OXYGEN NASAL CANNULA (NEO),PH-SURG,Chennai,78,0,3,61,2,41,4,81,3,61,<3 Months
70-0000481,SGLOVE # 7.5 POWDER FREE,PH-SURG,Chennai,130,0,6,191,5,159,7,223,8,238,<3 Months
70-0000534,SPLINT - III,PH-SURG,Chennai,369,0,2,48,10,240,9,216,9,216,<3 Months
70-0000535,SPLINT - IV,PH-SURG,Chennai,42,0,6,144,8,192,6,144,4,96,<3 Months
70-0000554,SURGICAL BLADE 15,PH-SURG,Chennai,93,0,3,8,3,8,2,5,4,10,<3 Months
70-0000567,TEGADERM WITH PAD 5X7CMS (3582)(8582),PH-SURG,Chennai,50,0,3,203,1,68,2,135,1,68,<3 Months
70-0000599,TRANSPORE 1 INCH,PH-SURG,Chennai,165,0,3,141,2,94,2,94,2,94,<3 Months
70-0000609,UROBAG SMALL,PH-SURG,Chennai,107,0,7,61,8,69,4,35,5,43,<3 Months
70-0000614,VENFLON I -20G,PH-SURG,Chennai,362,0,4,158,7,276,6,217,4,158,<3 Months
70-0000615,VENFLON I -22G,PH-SURG,Chennai,510,0,13,511,15,590,19,747,17,669,<3 Months
70-0000672,NEEDLE 20 G,PH-SURG,Chennai,434,0,1,1,3,2,4,3,2,2,<3 Months
70-0000792,TEGADERM WITH PAD (8591)BIG 9CM*25CM,PH-SURG,Chennai,33,0,5,1602,7,2242,6,1922,4,1281,<3 Months
70-0000931,GAUZE SWABS 7.5X7.5 (50NOS)NON STERILE,PH-CSSD,Chennai,101,0,9,639,7,497,4,284,3,213,<3 Months
70-0001019,ELASTOMULL 10 CMS,GN-PUR,Chennai,6,5,3,99,2,66,2,66,1,33,<3 Months
70-0001196,NEEDLE 16 G 1.5INC,PH-SURG,Chennai,88,0,2,4,0,1,3,6,2,4,<3 Months
70-0001636,SODIUM PHOSPHATES ENEMA,PH-GEN,Chennai,24,0,5,107,4,85,1,21,8,171,<3 Months
70-0001673,HYSTEROSCOPY PACK,PH-DRAP,Chennai,19,0,0,0,2,681,1,341,2,681,<3 Months
70-0001675,MINOR OT PACK,PH-DRAP,Chennai,4,4,1,205,1,205,2,410,2,410,<3 Months
70-0002030,NEEDLE 23* 1 1 2,PH-SURG,Chennai,148,0,1,1,3,3,12,12,23,24,<3 Months
70-0002087,DSYRINGE 50 ML LEUR LOCK,PH-SURG,Chennai,65,0,0,0,0,0,0,0,0,0,3+ Months
70-0003401,Oxygen Mask With Tubing -Adult (ROMSONS),PH-SURG,Chennai,61,0,8,280,9,315,7,245,6,210,<3 Months
70-0003402,Oxygen Mask With Tubing - Pead (ROMSONS),PH-SURG,Chennai,45,0,2,69,2,69,5,174,3,104,<3 Months
70-0003562,SUCTION CATHETER 10 ROMSONS,PH-SURG,Chennai,167,0,0,0,1,6,1,6,3,19,<3 Months
70-0003566,SUCTION CATHETER 6 ROMSONS,PH-SURG,Chennai,290,0,22,154,36,253,18,126,47,330,<3 Months
70-0003767,BED SHEET WITH PILLOW COVER DISPOSABLE,PH-DRAP,Chennai,40,0,4,186,6,279,7,326,0,23,<3 Months
70-0003947,MICRO PORE 1 INCH (3M),GN-PUR,Chennai,109,0,11,346,5,157,18,567,33,1039,<3 Months
70-0005701,SGLOVE 5.5 SIGNATURE,PH-SURG,Chennai,107,0,0,0,0,0,0,0,1,37,<3 Months
90-0000818,CARTOON FLEXI THERMOMETER (YELLOW DUCK),GN-PUR,Chennai,4,75,22,5181,20,4710,12,2826,8,1884,<3 Months
